seed,ensemble_selected,composite_distance,n_chunks,best_specialists,best_possible_combination,rmse_improvement_ratio,complexity_ratio,total_improvement,rmse
0,True,1.415,2,[np.float64(4.693418744160051)],4.693418744160051,0.6046711334512074,2.038961038961039,1.2329008824914227,2.8379748317924003
1,True,2.495,3,[np.float64(0.10175843359310142)],0.10175843359310142,0.5699012631278061,2.978021978021978,1.697178486897093,0.05799225983861548
2,True,1.2125,2,[np.float64(1.5982703632875663)],1.5982703632875663,0.7144833690264493,1.967032967032967,1.4054123412718067,1.1419375937768275
3,True,1.4525000000000001,2,[np.float64(0.00607197029730577)],0.00607197029730577,0.2211732972842282,2.1703703703703705,0.4800279711428064,0.0013429576916670124
4,False,0.0,1,[np.float64(0.00814814814814338)],0.00814814814814338,1.0,1.0,1.0,0.00814814814814338
5,False,0.0,1,[np.float64(1.5042274467328157e-14)],1.5042274467328157e-14,0.9684887922543525,4.287128712871287,4.152036109367669,1.456827423162113e-14
6,False,0.0,1,[np.float64(0.637486299848167)],0.637486299848167,1.0,1.0,1.0,0.637486299848167
7,True,2.3525,3,[np.float64(1.445373939986536)],1.445373939986536,0.8532158402876764,3.0,2.559647520863029,1.2332159407355219
8,True,1.4825,2,[np.float64(0.9663417720168641)],0.9663417720168641,0.7097296507366615,1.9870129870129871,1.4102420332819379,0.6858414083457756
9,False,0.0,1,[np.float64(1.1610608666544526)],1.1610608666544526,0.9778292619973028,2.3230769230769233,2.271572593255273,1.1353192903746723
10,True,1.38,2,[np.float64(0.5971502303111551)],0.5971502303111551,0.5909524656183078,2.963302752293578,1.7511710678414076,0.3528874009469175
11,True,2.2575,3,[np.float64(3.107477123642881)],3.107477123642881,0.8548552378261137,3.456140350877193,2.9544996816095512,2.656443095570943
12,True,1.4175,2,[np.float64(1.869253746368355)],1.869253746368355,0.7998551358983449,2.046153846153846,1.6366266626843056,1.4951322093299508
13,True,1.1925,2,[np.float64(1.9408168434260926)],1.9408168434260926,0.7007995735358274,2.0985915492957745,1.47069206277237,1.3601236161841566
14,True,2.6175,3,[np.float64(0.33578246591520267)],0.33578246591520267,0.3343920773037162,2.646017699115044,0.884807354989479,0.1122829962995489
15,True,1.1425,2,[np.float64(1.6186060477109792)],1.6186060477109792,0.8238081813631338,1.5714285714285714,1.294555713570639,1.3334209045081515
16,False,0.0,1,[np.float64(1.592308175502906e-14)],1.592308175502906e-14,1.0,1.0,1.0,1.592308175502906e-14
17,True,2.38,3,[np.float64(3.9388535744823225)],3.9388535744823225,0.8061491188333987,2.45679012345679,1.9805391931832879,3.175303338282707
18,True,1.2425,2,[np.float64(0.8594767902940581)],0.8594767902940581,0.7896470879600387,2.3114754098360657,1.8252498262682861,0.6786833446249438
19,True,1.3925,2,[np.float64(2.166450981475731)],2.166450981475731,0.36426330563838155,1.7761194029850746,0.646975124939812,0.7891585960158659
20,True,1.4525000000000001,2,[np.float64(0.6173641642843821)],0.6173641642843821,0.4424577794980328,1.96,0.8672172478161442,0.27315757727092643
21,False,0.0,1,[np.float64(7.151681982406822)],7.151681982406822,0.9879663322335622,1.6779661016949152,1.6577740151037739,7.065621017459319
22,True,1.41,2,[np.float64(0.4324696743753571)],0.4324696743753571,0.7390537640980812,1.7792207792207793,1.314939814044638,0.31961834070537914
23,True,2.4975,3,[np.float64(1.632792613465237)],1.632792613465237,0.4855072779859039,4.142857142857143,2.0113872945130304,0.7927326972789973
24,True,1.27,2,[np.float64(0.9280127723114304)],0.9280127723114304,0.6608488549693319,1.8440366972477065,1.2186295398975753,0.6132761779789241
25,True,1.2625,2,[np.float64(1.1157665409697615)],1.1157665409697615,0.7323264486583954,2.111111111111111,1.546022502723279,0.8171053484802474
26,True,1.3475,2,[np.float64(1.437239670313552)],1.437239670313552,0.7293673951693908,1.8101265822784811,1.3202473102433276,1.0482757545707093
27,True,1.43,2,[np.float64(0.04271651552833972)],0.04271651552833972,0.4253490301150757,1.962962962962963,0.8349443924481116,0.01816942844987487
28,False,0.0,1,[np.float64(1.8064588999231437)],1.8064588999231437,0.9131258047238241,3.5945945945945947,3.2823170818450977,1.6495242366928347
29,True,1.2225,2,[np.float64(2.7263512266496197)],2.7263512266496197,0.8875699232733393,2.120879120879121,1.8824285185907086,2.4198273490535773
