seed,ensemble_selected,composite_distance,n_chunks,best_specialists,best_possible_combination,rmse_improvement_ratio,complexity_ratio,total_improvement,rmse
0,True,1.115,2,[np.float64(0.0235686182433524)],0.0235686182433524,0.6957319938100394,2.101123595505618,1.4618189083424422,0.016397441761795233
1,False,0.0,1,[np.float64(1.757632777936841e-14)],1.757632777936841e-14,0.9643038144189802,6.242105263157895,6.01928591526795,1.6948919921123242e-14
2,True,1.4375,2,[np.float64(0.01348808430488346)],0.01348808430488346,0.36255870579744703,1.6285714285714286,0.5904527494415566,0.004890222389265405
3,True,1.4675,2,[np.float64(0.035817205430828614)],0.035817205430828614,0.3927423114931511,1.924731182795699,0.7559233737341295,0.014066932052128674
4,True,1.4175,2,[np.float64(0.09746821035694928)],0.09746821035694928,0.3207066851685071,1.8045977011494252,0.5787465467983404,0.03125870665288395
5,True,1.3025,2,[np.float64(0.16670640416036772)],0.16670640416036772,0.323607079377768,1.9885057471264367,0.6434945371534927,0.053947372563906394
6,True,2.575,3,[np.float64(0.10525892394469621)],0.10525892394469621,0.32731838198571384,3.140127388535032,1.0278214160443115,0.034453180675135274
7,True,2.4625,3,[np.float64(0.0052880302587716595)],0.0052880302587716595,0.2624347712556953,3.506666666666667,0.9202712645366382,0.0013877630113539358
8,True,1.205,2,[np.float64(0.10326197149319948)],0.10326197149319948,0.5181188006907614,2.1478260869565218,1.112829076266244,0.05350196882702011
9,True,2.4975,3,[np.float64(0.21453332135577932)],0.21453332135577932,0.18758015591448624,3.6956521739130435,0.6932310109883187,0.04024219386876966
10,True,1.4125,2,[np.float64(0.061757085444744016)],0.061757085444744016,0.4725698446319256,1.9090909090909092,0.9021787942973125,0.029184536273543234
11,True,1.34,2,[np.float64(0.12118829399710764)],0.12118829399710764,0.8168616284886507,1.7816091954022988,1.4553281886866765,0.09899406718823872
12,True,2.52,3,[np.float64(0.6465326189415841)],0.6465326189415841,0.8526228316107343,3.2222222222222223,2.7473402351901437,0.5512484722906773
13,True,2.5025,3,[np.float64(3.200148432727559)],3.200148432727559,0.8791869937485993,3.169491525423729,2.7865757259489503,2.8135288801190343
14,True,2.5925000000000002,3,[np.float64(0.023852923961692408)],0.023852923961692408,0.3751253645596792,3.8656716417910446,1.4501114838948792,0.008947836796944173
15,True,1.4075,2,[np.float64(0.1407084704024932)],0.1407084704024932,0.7725980809616054,2.1384615384615384,1.652171280825587,0.1087110942080091
16,True,3.52,4,[np.float64(0.11090262641088708)],0.11090262641088708,0.25200041754878477,4.333333333333333,1.0920018093780672,0.02794750816280043
17,True,1.4725,2,[np.float64(0.04011218973563972)],0.04011218973563972,0.5197878870639213,1.9610389610389611,1.0193242980084691,0.020849830348195285
18,True,1.365,2,[np.float64(1.6901075769703788)],1.6901075769703788,0.7687546701459433,1.9473684210526316,1.4970485681789423,1.2992780928450232
19,True,1.4849999999999999,2,[np.float64(0.03244522604689145)],0.03244522604689145,0.06246242368739067,1.9690721649484537,0.12299301983805792,0.002026607455974097
20,True,1.28,2,[np.float64(0.9042083244723774)],0.9042083244723774,0.38521787248125644,1.7259259259259259,0.6648575132454277,0.3483172070330908
21,True,2.485,3,[np.float64(0.4656528054246506)],0.4656528054246506,0.0670491229707169,2.9207920792079207,0.19583654729070776,0.03122161221257671
22,True,2.505,3,[np.float64(0.08494061907993192)],0.08494061907993192,0.05503615437631209,3.1565217391304348,0.17372281772696774,0.004674805024502653
23,True,1.4675,2,[np.float64(0.3529470795213956)],0.3529470795213956,0.8847911201867611,2.057471264367816,1.8204323047520716,0.31228444185638143
24,True,1.2,2,[np.float64(0.11903677513101864)],0.11903677513101864,0.581266152865593,2.074626865671642,1.2059103768405586,0.0691920483299339
25,True,1.1925,2,[np.float64(2.3276021210902447)],2.3276021210902447,0.7554714842548421,2.26027397260274,1.7075725329047802,1.758437029174766
26,True,1.4,2,[np.float64(0.7866610496274636)],0.7866610496274636,0.7994533147893241,2.509433962264151,2.0061752993769835,0.6288987837403248
27,True,2.5625,3,[np.float64(1.354730286763251)],1.354730286763251,0.3597290586127815,3.49438202247191,1.2570307553772475,0.48733585073156777
28,True,3.585,4,[np.float64(0.6802693914824348)],0.6802693914824348,0.13350962184597087,3.823529411764706,0.5104779658816534,0.09082250921020858
29,True,1.2025000000000001,2,[np.float64(1.030678771858263)],1.030678771858263,0.4607535925561983,2.420289855072464,1.1151572457519583,0.474888946905105
