seed,ensemble_selected,composite_distance,n_chunks,best_specialists,best_possible_combination,rmse_improvement_ratio,complexity_ratio,total_improvement,rmse
0,True,2.30375,4,"[np.float64(0.0), np.float64(0.6851379132689117)]",0.5639396758825092,0.3771453840275999,5.173913043478261,1.9513174217080167,0.23780834469303655
1,True,1.13375,3,"[np.float64(0.0), np.float64(0.4451923911061468)]",0.3609903659413454,0.2401368002106611,2.3451327433628317,0.5631526730604,0.11713933198304742
2,True,0.4675,2,"[np.float64(0.0), np.float64(0.7988869221765821)]",0.6465557253232128,0.6239661693074583,1.7596899224806202,1.0979869800991708,0.4071821662059977
3,False,1.3375,1,"[np.float64(0.0), np.float64(0.1528621519605627)]",0.12442077738498655,1.4035635507616844,5.108527131782946,7.170142480247675,0.18663681505849636
4,True,2.15625,4,"[np.float64(0.0), np.float64(0.0017681224421814152)]",0.0014418602170157846,0.0006840727868743419,2.5041322314049586,0.0017130087142390544,0.00022386822074019444
5,True,2.225,4,"[np.float64(0.0), np.float64(0.6574121020443409)]",0.5401191567998604,0.1659363485719058,3.674698795180723,0.6097661001738708,0.13295168389109613
6,False,1.35,1,"[np.float64(0.0), np.float64(2.8340478346021336e-15)]",2.284882411356978e-15,0.9395432642555991,3.0,2.818629792766797,2.176044208757771e-15
7,True,2.26125,4,"[np.float64(5.445771295997355e-17), np.float64(0.37111935475639046)]",0.3032070111811874,0.6009221392573134,4.1570247933884295,2.4980482317886663,0.18627772088100059
8,False,1.3475,1,"[np.float64(0.0), np.float64(0.24267365934652144)]",0.19602564748971515,1.1732518331452868,3.0776699029126213,3.61088185540831,0.24574924367511838
9,True,1.305,3,"[np.float64(0.0), np.float64(0.30206027548497644)]",0.24678527851635507,0.3902090795838726,3.896,1.5202545740587676,0.11547038616669451
10,True,4.2425,6,"[np.float64(0.0), np.float64(0.12284612699745742)]",0.1003661127470266,0.4426514944419524,4.557046979865772,2.0171836558797698,0.1706077905973739
11,False,1.345,1,"[np.float64(0.0), np.float64(0.5673166961735213)]",0.4591411472640977,0.8629656674350845,1.8705882352941177,1.6142534249668052,0.44739638091783396
12,True,2.20125,4,"[np.float64(0.0), np.float64(0.5692179057356522)]",0.4597998350337661,0.23140928701946092,1.916030534351145,0.4433872598617152,0.1432588592486738
13,False,1.35,1,"[np.float64(0.0), np.float64(0.3511536552246518)]",0.28310912776783065,3.0607604415265737,2.090909090909091,6.399771832282836,0.9726022338862295
14,True,0.0,2,"[np.float64(0.0), np.float64(2.2804847470355517e-15)]",1.845643518222704e-15,1.0071536883011132e-14,1.1495327102803738,1.1577561089816535e-14,1.845643518222704e-15
15,True,2.29375,4,"[np.float64(0.0), np.float64(0.08300666151495692)]",0.06807052363589493,0.05260943287497705,3.7480916030534353,0.1971849736001048,0.011700890855150992
16,True,1.11125,3,"[np.float64(0.0), np.float64(0.0002084137118299527)]",0.00017091195138126437,0.0015877449017296387,2.5703703703703704,0.004081092451112479,9.425139127791525e-05
17,False,1.3475,1,"[np.float64(0.0), np.float64(2.7228641308575335e-15)]",2.19946081381543e-15,911356648322874.9,3.761904761904762,3428436915119386.5,2.0084729899249067
18,True,1.12125,3,"[np.float64(7.933538281995571e-17), np.float64(0.39273702633370666)]",0.3160252138281123,0.247254432460868,1.972972972972973,0.4878263126930639,0.11845492287591303
19,True,2.23125,4,"[np.float64(0.0), np.float64(0.24332968036363553)]",0.20065479479741052,0.19503858477797242,2.8857142857142857,0.5628256303592919,0.13613338923385762
20,True,2.3,4,"[np.float64(0.0), np.float64(0.640151669849037)]",0.5190757752678415,0.11695349936980486,2.5496688741721854,0.2981926970687077,0.08288838498195478
21,True,2.23,4,"[np.float64(0.0), np.float64(0.0011095319850964972)]",0.0008945332843829304,0.0026141382976589385,3.2222222222222223,0.008423334514678802,0.0004538733491144248
22,True,3.21875,5,"[np.float64(0.0), np.float64(0.22859105355194362)]",0.18710984138166456,0.39315797108318973,5.388349514563107,2.1184725626327214,0.11946940092239802
23,True,4.285,6,"[np.float64(0.0), np.float64(0.13845839018283085)]",0.114175713495359,0.11122479731320774,7.597701149425287,0.845052770391153,0.06566724751830778
24,False,1.345,1,"[np.float64(0.0), np.float64(0.33566241122714036)]",0.2716585385618971,1.94039890002971,3.3008849557522124,6.405033537266211,0.5414693035681771
25,True,2.21625,4,"[np.float64(0.0), np.float64(0.45206535678694276)]",0.3679545420423223,0.2324954263341883,3.8828828828828827,0.902752511261578,0.15390008714053036
26,False,1.3425,1,"[np.float64(0.0), np.float64(2.2457671500619417e-15)]",1.821011143756539e-15,0.9862265005835111,3.8705882352941177,3.8172766904938253,1.7959294478305884e-15
27,True,2.1425,4,"[np.float64(0.0), np.float64(0.025151457789197522)]",0.020702262535638685,0.01930352005882417,3.4065040650406506,0.06575751954997827,0.01301392399342002
28,False,1.335,1,"[np.float64(0.0), np.float64(0.6177967184671463)]",0.5037979776229109,0.9792245807467631,3.5801526717557253,3.505773499009404,0.49398009718049574
29,True,2.175,4,"[np.float64(0.0), np.float64(0.5012018511571119)]",0.4056330344291152,0.2758588465920876,3.3376623376623376,0.9207236827813833,0.18140474637710907
