seed,ensemble_selected,composite_distance,n_chunks,best_specialists,best_possible_combination,rmse_improvement_ratio,complexity_ratio,total_improvement,rmse
0,True,2.23125,2,"[np.float64(0.004349547345776467), np.float64(0.004488330246944766), np.float64(0.006526128527717364), np.float64(0.005421683125434023)]",0.0053409521231323155,0.6709851402870983,2.4285714285714284,1.6295353406972386,0.006123101423373659
1,False,3.7199999999999998,1,"[np.float64(0.004680935557580967), np.float64(0.005861042190936661), np.float64(0.005590145277295148), np.float64(0.005360392811580934)]",0.00544373013435972,0.8389140916645559,14.6,12.248145738302515,0.006093253859918246
2,False,3.7275,1,"[np.float64(0.0049668868784929), np.float64(0.006457693924293029), np.float64(0.005534161478779349), np.float64(0.00504737249742529)]",0.0055747973847425445,0.7656967457228298,3.0,2.297090237168489,0.005422045875473549
3,False,3.7125,1,"[np.float64(0.006705284550838319), np.float64(0.007012271601791174), np.float64(0.008199047856508481), np.float64(0.009838457129843672)]",0.008088184744040232,0.9897813505144559,6.428571428571429,6.362880110450074,0.008040340863222245
4,False,3.7199999999999998,1,"[np.float64(0.005138785805643784), np.float64(0.00697792099354288), np.float64(0.005758018269082867), np.float64(0.005357112711935085)]",0.00592149152810074,0.8706194409039599,2.6,2.263610546350296,0.006252742774836787
5,True,2.27125,2,"[np.float64(0.004674940608756604), np.float64(0.006428425159078392), np.float64(0.005692231378750231), np.float64(0.005266779091997047)]",0.005635146997177031,0.7424805522599509,2.6,1.9304494358758724,0.005347190116675818
6,False,3.715,1,"[np.float64(0.006689709742633331), np.float64(0.007230865270415588), np.float64(0.0080791578334989), np.float64(0.009863107585306678)]",0.008080017032608373,1.0,1.0,1.0,0.008108487241155572
7,False,3.715,1,"[np.float64(0.005009882852009052), np.float64(0.005909711228066392), np.float64(0.0061009639912762426), np.float64(0.004773906266186639)]",0.0055247705237231855,0.9288219291357723,5.857142857142857,5.440242727795238,0.005565374502674248
8,False,3.6975,1,"[np.float64(0.004595793448404165), np.float64(0.006368547287114642), np.float64(0.00574568281859703), np.float64(0.004965500624360081)]",0.005577485244715171,0.7852634721387879,3.4,2.669895805271879,0.0057229919479563785
9,False,3.705,1,"[np.float64(0.0067836564165791), np.float64(0.0072505164863520336), np.float64(0.007670794926722844), np.float64(0.010205279517778222)]",0.008121736098334548,0.9201935358091905,1.8571428571428572,1.708930852217068,0.007473569057235607
10,False,3.7125,1,"[np.float64(0.004701790208982032), np.float64(0.006545430799230751), np.float64(0.005516824836979751), np.float64(0.005470459732030174)]",0.005673160817869852,1.0,1.0,1.0,0.00712210281093466
11,False,3.7175000000000002,1,"[np.float64(0.004307557453238753), np.float64(0.006536934978046022), np.float64(0.005500140953956442), np.float64(0.005337473157059197)]",0.005564230689001352,0.7730823058360637,8.6,6.648507830190148,0.005502514358790628
12,False,3.715,1,"[np.float64(0.006937928788855347), np.float64(0.006926297518647419), np.float64(0.008415739361444628), np.float64(0.010117115402282842)]",0.008221938042764257,0.9052242044516084,2.4285714285714284,2.1984016393824777,0.007461106811335848
13,False,3.7199999999999998,1,"[np.float64(0.004584265301390812), np.float64(0.007086481202605468), np.float64(0.007917997558844179), np.float64(0.009953587802035339)]",0.007743399814034094,1.0,1.0,1.0,0.008306909775314565
14,False,3.7275,1,"[np.float64(0.0045992408993727795), np.float64(0.006653978543339304), np.float64(0.005560050068126155), np.float64(0.005289927932580371)]",0.0056365005054886804,0.8712178327514932,3.8,3.310627764455674,0.006288245993601109
15,False,3.71,1,"[np.float64(0.004866661321769217), np.float64(0.006950793182509315), np.float64(0.008264536298492121), np.float64(0.010219111954756353)]",0.007948066181684397,0.9437667883271761,2.4285714285714284,2.2920050573659987,0.007774026996918801
16,False,3.7275,1,"[np.float64(0.0044758045124059015), np.float64(0.006920003666873814), np.float64(0.008282637007067651), np.float64(0.009990786973827714)]",0.007844233858677357,0.9261272261606721,2.4285714285714284,2.249166120675918,0.007585870987717086
17,False,3.715,1,"[np.float64(0.0005835943683089091), np.float64(0.006479363282776389), np.float64(0.00569691916214542), np.float64(0.004920175188190675)]",0.005152247128317225,0.8379446481149324,5.0,4.189723240574662,0.0061240239479869885
18,False,3.7125,1,"[np.float64(0.004691577660214915), np.float64(0.006967252431472591), np.float64(0.008153729582684587), np.float64(0.009617304313086359)]",0.007637481258222847,0.958923961285353,3.2857142857142856,3.1507501585090165,0.007670621852877229
19,False,3.69,1,"[np.float64(0.004426121484855887), np.float64(0.006346906462620756), np.float64(0.005637292205677571), np.float64(0.005289256415649349)]",0.005599340994414905,0.9436069861021399,2.142857142857143,2.022014970218871,0.005761215123026185
20,False,3.725,1,"[np.float64(0.0011989899416974962), np.float64(0.006148654976645867), np.float64(0.005622239778079639), np.float64(0.00530288449978928)]",0.005137070117263214,0.9393133439484237,2.4285714285714284,2.281189549589029,0.005812424586082679
21,False,3.7225,1,"[np.float64(0.004519364909212384), np.float64(0.006376293092363593), np.float64(0.0058095371833264565), np.float64(0.005121550827442931)]",0.0055721946400218115,0.7911261562514136,23.4,18.512352056283078,0.005707930666013022
22,False,3.7225,1,"[np.float64(0.00471926901672536), np.float64(0.007106018148710835), np.float64(0.008011849350313073), np.float64(0.010169562104338592)]",0.00787462066830373,0.9205381930762978,8.714285714285714,8.021832825379166,0.007508818616070263
23,False,3.7175000000000002,1,"[np.float64(0.004311986741470456), np.float64(0.006297658427135834), np.float64(0.005559871345876109), np.float64(0.005382634477384927)]",0.005530879162039454,0.9548972643935983,9.285714285714286,8.866903169369127,0.005767223789607346
24,False,3.7199999999999998,1,"[np.float64(0.00512570389635685), np.float64(0.00706173240026264), np.float64(0.005692229863905923), np.float64(0.005149572458300213)]",0.00587538665691808,0.7839139250929403,3.8,2.9788729153531732,0.005612824344047259
25,False,3.7175000000000002,1,"[np.float64(0.0003280675768245069), np.float64(0.004363757458557509), np.float64(0.006400561920130461), np.float64(0.005397219171586316)]",0.004866298831343653,15.944566074619395,1.0,15.944566074619395,0.1301570330244292
26,False,3.6975,1,"[np.float64(0.004685265370265826), np.float64(0.0056322362314234), np.float64(0.005085238169758824), np.float64(0.00542976559592008)]",0.005265991557816015,0.751646080499419,8.6,6.464156292295002,0.005553541332621879
27,False,3.7125,1,"[np.float64(0.004302332277869158), np.float64(0.006960231844121597), np.float64(0.00815875562985092), np.float64(0.01007675508325076)]",0.007785841864972334,1.0,1.0,1.0,0.008103192351314759
28,False,3.715,1,"[np.float64(0.0045006399580535626), np.float64(0.005500097772356133), np.float64(0.00485024462278091), np.float64(0.005618011749569196)]",0.00518637220347691,0.8695837721760773,2.4285714285714284,2.1118463038561877,0.0053270230627620345
29,False,3.69,1,"[np.float64(0.005056450454161793), np.float64(0.005560920832973359), np.float64(0.00649966576579134), np.float64(0.00575112875706748)]",0.005771115446036126,2.145562185864526,1.0,2.145562185864526,0.013494543630204591
