Category: All categories

Week,buy bitcoin: (Worldwide)
2020-05-03,24
2020-05-10,23
2020-05-17,19
2020-05-24,17
2020-05-31,17
2020-06-07,16
2020-06-14,16
2020-06-21,17
2020-06-28,17
2020-07-05,17
2020-07-12,18
2020-07-19,17
2020-07-26,20
2020-08-02,21
2020-08-09,18
2020-08-16,18
2020-08-23,17
2020-08-30,17
2020-09-06,16
2020-09-13,16
2020-09-20,15
2020-09-27,14
2020-10-04,15
2020-10-11,15
2020-10-18,18
2020-10-25,18
2020-11-01,18
2020-11-08,18
2020-11-15,28
2020-11-22,32
2020-11-29,30
2020-12-06,22
2020-12-13,38
2020-12-20,37
2020-12-27,56
2021-01-03,100
2021-01-10,75
2021-01-17,46
2021-01-24,53
2021-01-31,49
2021-02-07,94
2021-02-14,75
2021-02-21,63
2021-02-28,38
2021-03-07,38
2021-03-14,43
2021-03-21,37
2021-03-28,37
2021-04-04,36
2021-04-11,55
2021-04-18,59
2021-04-25,42
2021-05-02,54
2021-05-09,55
2021-05-16,57
2021-05-23,39
2021-05-30,30
2021-06-06,28
2021-06-13,25
2021-06-20,24
2021-06-27,19
2021-07-04,18
2021-07-11,18
2021-07-18,19
2021-07-25,20
2021-08-01,18
2021-08-08,19
2021-08-15,20
2021-08-22,21
2021-08-29,20
2021-09-05,23
2021-09-12,21
2021-09-19,20
2021-09-26,18
2021-10-03,20
2021-10-10,22
2021-10-17,30
2021-10-24,34
2021-10-31,31
2021-11-07,31
2021-11-14,28
2021-11-21,25
2021-11-28,25
2021-12-05,23
2021-12-12,23
2021-12-19,21
2021-12-26,22
2022-01-02,28
2022-01-09,27
2022-01-16,25
2022-01-23,35
2022-01-30,25
2022-02-06,21
2022-02-13,22
2022-02-20,22
2022-02-27,24
2022-03-06,20
2022-03-13,18
2022-03-20,19
2022-03-27,20
2022-04-03,20
2022-04-10,20
2022-04-17,17
2022-04-24,21
2022-05-01,18
2022-05-08,30
2022-05-15,20
2022-05-22,17
2022-05-29,15
2022-06-05,15
2022-06-12,27
2022-06-19,21
2022-06-26,16
2022-07-03,16
2022-07-10,17
2022-07-17,17
2022-07-24,16
2022-07-31,16
2022-08-07,15
2022-08-14,17
2022-08-21,17
2022-08-28,14
2022-09-04,14
2022-09-11,14
2022-09-18,14
2022-09-25,16
2022-10-02,16
2022-10-09,16
2022-10-16,16
2022-10-23,15
2022-10-30,16
2022-11-06,21
2022-11-13,19
2022-11-20,18
2022-11-27,18
2022-12-04,22
2022-12-11,19
2022-12-18,22
2022-12-25,26
2023-01-01,24
2023-01-08,14
2023-01-15,13
2023-01-22,13
2023-01-29,13
2023-02-05,12
2023-02-12,12
2023-02-19,11
2023-02-26,11
2023-03-05,11
2023-03-12,12
2023-03-19,14
2023-03-26,13
2023-04-02,14
2023-04-09,14
2023-04-16,12
2023-04-23,12
2023-04-30,14
2023-05-07,12
2023-05-14,13
2023-05-21,14
2023-05-28,13
2023-06-04,13
2023-06-11,13
2023-06-18,14
2023-06-25,15
2023-07-02,15
2023-07-09,15
2023-07-16,15
2023-07-23,17
2023-07-30,14
2023-08-06,14
2023-08-13,14
2023-08-20,19
2023-08-27,19
2023-09-03,19
2023-09-10,15
2023-09-17,11
2023-09-24,11
2023-10-01,11
2023-10-08,10
2023-10-15,12
2023-10-22,14
2023-10-29,12
2023-11-05,13
2023-11-12,12
2023-11-19,12
2023-11-26,12
2023-12-03,15
2023-12-10,13
2023-12-17,14
2023-12-24,14
2023-12-31,16
2024-01-07,22
2024-01-14,14
2024-01-21,14
2024-01-28,13
2024-02-04,13
2024-02-11,16
2024-02-18,15
2024-02-25,22
2024-03-03,29
2024-03-10,26
2024-03-17,19
2024-03-24,19
2024-03-31,17
2024-04-07,16
2024-04-14,19
2024-04-21,13
2024-04-28,13
2024-05-05,11
2024-05-12,12
2024-05-19,13
2024-05-26,12
2024-06-02,13
2024-06-09,12
2024-06-16,12
2024-06-23,11
2024-06-30,13
2024-07-07,12
2024-07-14,13
2024-07-21,13
2024-07-28,13
2024-08-04,15
2024-08-11,12
2024-08-18,12
2024-08-25,11
2024-09-01,11
2024-09-08,11
2024-09-15,11
2024-09-22,11
2024-09-29,11
2024-10-06,10
2024-10-13,11
2024-10-20,11
2024-10-27,13
2024-11-03,19
2024-11-10,42
2024-11-17,37
2024-11-24,25
2024-12-01,36
2024-12-08,27
2024-12-15,26
2024-12-22,21
2024-12-29,20
2025-01-05,19
2025-01-12,21
2025-01-19,29
2025-01-26,19
2025-02-02,20
2025-02-09,15
2025-02-16,14
2025-02-23,18
2025-03-02,17
2025-03-09,16
2025-03-16,14
2025-03-23,13
2025-03-30,14
2025-04-06,15
2025-04-13,12
2025-04-20,13
2025-04-27,13
2025-05-04,11
